2025-10-18 05:52:31 http://58.19.133.216:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:33 http://101.66.195.101:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:37 http://112.99.193.34:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:40 http://183.131.246.250:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:48 http://101.66.199.152:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:49 http://101.66.199.67:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:53:14 http://113.195.162.70:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：1 个 , 总频道：333 个 , 总进度：0.30%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：2 个 , 总频道：333 个 , 总进度：0.60%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：3 个 , 总频道：333 个 , 总进度：0.90%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：4 个 , 总频道：333 个 , 总进度：1.20%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：5 个 , 总频道：333 个 , 总进度：1.50%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：6 个 , 总频道：333 个 , 总进度：1.80%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：7 个 , 总频道：333 个 , 总进度：2.10%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：8 个 , 总频道：333 个 , 总进度：2.40%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：9 个 , 总频道：333 个 , 总进度：2.70%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：10 个 , 总频道：333 个 , 总进度：3.00%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：11 个 , 总频道：333 个 , 总进度：3.30%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：12 个 , 总频道：333 个 , 总进度：3.60%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：13 个 , 总频道：333 个 , 总进度：3.90%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：14 个 , 总频道：333 个 , 总进度：4.20%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：15 个 , 总频道：333 个 , 总进度：4.50%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：16 个 , 总频道：333 个 , 总进度：4.80%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：17 个 , 总频道：333 个 , 总进度：5.11%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：18 个 , 总频道：333 个 , 总进度：5.41%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：19 个 , 总频道：333 个 , 总进度：5.71%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：20 个 , 总频道：333 个 , 总进度：6.01%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：21 个 , 总频道：333 个 , 总进度：6.31%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：22 个 , 总频道：333 个 , 总进度：6.61%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：23 个 , 总频道：333 个 , 总进度：6.91%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：24 个 , 总频道：333 个 , 总进度：7.21%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：25 个 , 总频道：333 个 , 总进度：7.51%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：26 个 , 总频道：333 个 , 总进度：7.81%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：27 个 , 总频道：333 个 , 总进度：8.11%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：28 个 , 总频道：333 个 , 总进度：8.41%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：29 个 , 总频道：333 个 , 总进度：8.71%
